0.18644	0.18644	0.49153	0.13559	3
0.08623	0.15501	0.60361	0.15515	3
0.21008	0.10716	0.44642	0.23634	3
0.09732	0.12234	0.70009	0.08025	3
0.09989	0.25032	0.51608	0.13371	3
0.45386	0.11435	0.25529	0.1765	1
0.2362	0.12883	0.3773	0.25767	3
0.06948	0.30109	0.50954	0.11988	3
0.36364	0.27273	0.25	0.11364	1
0.28302	0.33962	0.11321	0.26415	2
0.19149	0.19149	0.40426	0.21277	3
0.24508	0.37912	0.22875	0.14705	2
0.22076	0.16113	0.39736	0.22076	3
0.25	0.36538	0.28846	0.09615	2
0.1591	0.30392	0.29832	0.23866	2
0.18834	0.26548	0.32017	0.22601	3
0.10398	0.07603	0.65857	0.16141	3
0.18367	0.26531	0.30612	0.2449	3
0.51064	0.25532	0.17021	0.06383	1
0.2131	0.39349	0.24588	0.14753	2
0.13636	0.24242	0.40909	0.21212	3
0.27778	0.33333	0.24074	0.14815	2
0.35749	0.15359	0.28089	0.20803	1
0.08688	0.10523	0.69507	0.11282	3
0.24561	0.38596	0.10526	0.26316	2
0.19298	0.2807	0.2807	0.24561	3
0.11669	0.21671	0.46676	0.19984	3
0.23333	0.41667	0.16667	0.18333	2
0.54487	0.21504	0.09476	0.14533	1
0.1129	0.40323	0.32258	0.16129	2
0.06	0.28	0.5	0.16	3
0.03358	0.26862	0.48637	0.21143	3
0.14286	0.26531	0.34694	0.2449	3
0.33988	0.12139	0.48555	0.05318	3
0.38182	0.34545	0.10909	0.16364	1
0.47969	0.15474	0.22722	0.13835	1
0.24	0.4	0.24	0.12	2
0.31329	0.13846	0.43077	0.11748	3
0.22768	0.39327	0.16559	0.21346	2
0.10904	0.25442	0.50884	0.12769	3
0.1935	0.24437	0.43	0.13212	3
0.22727	0.20455	0.36364	0.20455	3
0.31895	0.16796	0.36931	0.14378	3
0.07639	0.28777	0.43923	0.19661	3
0.15133	0.092	0.6356	0.12107	3
0.28019	0.2977	0.17512	0.24699	2
0.23333	0.41667	0.15	0.2	2
0.24107	0.41283	0.24107	0.10504	2
0.14754	0.37705	0.29508	0.18033	2
0.15872	0.11054	0.63488	0.09587	3
0.09057	0.33208	0.44151	0.13585	3
0.20408	0.18367	0.44898	0.16327	3
0.25953	0.06037	0.59893	0.08118	3
0.18655	0.12025	0.60629	0.08692	3
0.14998	0.20012	0.47493	0.17497	3
0.28995	0.10599	0.34267	0.26139	3
0.0666	0.13373	0.57619	0.22348	3
0.21532	0.31366	0.29354	0.17747	2
0.32432	0.27027	0.32432	0.08108	3
0.16642	0.1902	0.4755	0.16788	3
0.32896	0.31466	0.20024	0.15614	1
0.08929	0.46429	0.32143	0.125	2
0.09381	0.34842	0.40718	0.15059	3
0.09832	0.22981	0.54077	0.1311	3
0.33333	0.21053	0.29825	0.15789	1
0.06362	0.12854	0.67861	0.12923	3
0.33333	0.29167	0.26389	0.11111	1
0.27236	0.11424	0.43123	0.18217	3
0.38069	0.26241	0.21414	0.14276	1
0.25	0.42308	0.17308	0.15385	2
